age_group,initial_grade,bbd_severity_label,technique,deflux_volume_ml,mean_forward_flow_ml_s,reflux_fraction,filling_reflux_fraction,voiding_reflux_fraction,obstruction_index,peak_pelvis_pa,severe_obstruction_any
12_18m,2,moderate,hit_plus_sting,0.0,0.014796564547734781,0.3300969501299708,0.004580108370332084,0.750012596524595,0.0062500000000000186,874.3914517964627,0
12_18m,2,moderate,hit_plus_sting,0.05,0.014676660747741137,0.31906896787980227,0.0022104491938893106,0.7421923082406103,0.006390659053782106,871.8879509272922,0
12_18m,2,moderate,hit_plus_sting,0.1,0.014189698523076492,0.25566355937581375,0.0002014160887053509,0.6856301744710539,0.006547588417039815,859.2195517036728,0
12_18m,2,moderate,hit_plus_sting,0.15,0.013637506255395733,0.15806131035004908,0.0,0.5545954634864483,0.006728719283400182,844.5405972121005,0
12_18m,2,moderate,hit_plus_sting,0.2,0.012820474932767102,0.04527413551668366,0.0,0.2521620146773787,0.00933603902855696,834.86827565965,0
12_18m,2,moderate,hit_plus_sting,0.25,0.012075177835552668,0.01697510950375365,0.0,0.11306268291330093,0.014246263946128119,837.2682870258793,0
12_18m,2,moderate,hit_plus_sting,0.3,0.009314614193919648,0.01475160374080501,0.0,0.10272093580238653,0.04238140778083995,857.4239070764168,0
12_18m,2,moderate,hit_plus_sting,0.35,0.004182058647530391,0.020929733424527974,0.0,0.1452706971631396,0.20038245910900365,895.1296342191913,0
12_18m,2,moderate,hit_plus_sting,0.4,0.003970384470882722,0.01873230880195998,0.0,0.1329894025445027,0.21626967093598737,896.5938990883121,0
12_18m,2,moderate,hit_plus_sting,0.45,0.003961541931035166,0.018773061979390437,0.0,0.13324342998878702,0.21697607794114215,896.6594242155534,0
12_18m,2,moderate,hit_plus_sting,0.5,0.003950457618324653,0.01882439489441063,0.0,0.13356317828148803,0.2178663517284115,896.7415597392512,0
12_18m,2,moderate,hit_plus_sting,0.55,0.003936886155063112,0.018887624820952686,0.0,0.13395668637030672,0.21896369322323095,896.8421227586847,0
12_18m,2,moderate,hit_plus_sting,0.6,0.003920761963486987,0.018963295313997548,0.0,0.13442711729606932,0.22027800783165324,896.9615976826783,0
12_18m,2,moderate,hit_plus_sting,0.7,0.0038818040332353923,0.01914861869567584,0.0,0.13557694866013167,0.22350181001378433,897.2502472315457,0
12_18m,2,moderate,hit_plus_sting,0.8,0.0038375998702042157,0.019363296152818413,0.0,0.1369049466544802,0.22724526164899234,897.577735751723,0
12_18m,2,moderate,hit_plus_sting,1.0,0.0037529998017783546,0.01978820146275924,0.0,0.1395255033052933,0.23469470308417828,898.2042507973172,0
12_18m,2,moderate,hit_plus_sting,1.2,0.0036850141883088315,0.020143208525840135,0.0,0.1417029550254371,0.24094960502798474,898.7076427457703,0
12_18m,2,moderate,hit_plus_sting,1.5,0.0036037082721899526,0.020584773368457057,0.0,0.1443959902787939,0.2487685963637494,899.3095479045425,0
12_18m,2,moderate,hit_plus_sting,2.0,0.0034874985584525736,0.021250600494219486,0.0,0.14842608537982932,0.2606438551055803,900.1695861541317,0
12_18m,2,moderate,double_hit_plus_sting,0.0,0.014796564547734781,0.3300969501299708,0.004580108370332084,0.750012596524595,0.0062500000000000186,874.3914517964627,0
12_18m,2,moderate,double_hit_plus_sting,0.05,0.01444992611866128,0.29033613631498834,0.0013168199873935767,0.7184277504116635,0.006415766331094427,865.7321882425298,0
12_18m,2,moderate,double_hit_plus_sting,0.1,0.013948905671309894,0.23079312031777893,1.2901452637905162e-05,0.658585928627144,0.007065527887475672,855.411234671226,0
12_18m,2,moderate,double_hit_plus_sting,0.15,0.01340365367174853,0.162658212613146,0.0,0.5629640715490971,0.00831141622840806,846.6197350164041,0
12_18m,2,moderate,double_hit_plus_sting,0.2,0.012874441092588968,0.09388081377297486,0.0,0.41615232182069317,0.010041830484091593,840.288560881931,0
12_18m,2,moderate,double_hit_plus_sting,0.25,0.012362154603578092,0.03801410994048023,0.0,0.22149776612106106,0.012476578396713974,837.3296779861009,0
12_18m,2,moderate,double_hit_plus_sting,0.3,0.011847758925119366,0.012361605018935193,0.0,0.08592932609630946,0.01597023074577881,838.489516694905,0
12_18m,2,moderate,double_hit_plus_sting,0.35,0.011238027168831398,0.009033224559259142,0.0,0.06555802340685347,0.02113428889691152,842.7085168400706,0
12_18m,2,moderate,double_hit_plus_sting,0.4,0.010412419551294383,0.005728466869023451,0.0,0.044073304251236886,0.029120631984840745,848.5755275009532,0
12_18m,2,moderate,double_hit_plus_sting,0.45,0.008302552061103781,0.0029381977711863184,0.0,0.024775594463015242,0.0573242737867824,864.0762526415383,0
12_18m,2,moderate,double_hit_plus_sting,0.5,0.004716760168357762,0.0009565816960989113,0.0,0.008794720109778184,0.1665496548904572,890.5450442786454,0
12_18m,2,moderate,double_hit_plus_sting,0.55,0.0038382054136470107,4.566645546055448e-06,0.0,4.302587340993629e-05,0.22679616753748322,897.03549673709,0
12_18m,2,moderate,double_hit_plus_sting,0.6,0.003830173900197552,4.575482308666032e-06,0.0,4.311308338392666e-05,0.22748505633497967,897.0950122532845,0
12_18m,2,moderate,double_hit_plus_sting,0.7,0.00380981087343445,4.598079990606951e-06,0.0,4.333613569511147e-05,0.22924791629580726,897.2458836730247,0
12_18m,2,moderate,double_hit_plus_sting,0.8,0.0037827746466167766,4.628487086058126e-06,0.0,4.3636702403215276e-05,0.23162421646328563,897.446154118273,0
12_18m,2,moderate,double_hit_plus_sting,1.0,0.0037078342096377812,4.715041390709498e-06,0.0,4.449295874591435e-05,0.23840663368833165,898.0012161902151,0
12_18m,2,moderate,double_hit_plus_sting,1.2,0.003615292813791405,4.826767449525399e-06,0.0,4.5599420608644405e-05,0.247200427374807,898.6865362298009,0
12_18m,2,moderate,double_hit_plus_sting,1.5,0.0034838501631038995,4.995704310422315e-06,0.0,4.727505946254547e-05,0.26058180299043854,899.659584340531,0
12_18m,2,moderate,double_hit_plus_sting,2.0,0.00332473761565696,5.217666673702976e-06,0.0,4.948151862459029e-05,0.2783212733819156,900.8381713503428,0
12_18m,2,severe,sting,0.0,0.009396140627260624,0.4875364973576263,0.11370702398105412,0.798791964040719,0.0062500000000000186,929.2837833617418,0
12_18m,2,severe,sting,0.05,0.009304956270255862,0.4792027758917172,0.10484422912371905,0.7949974537319444,0.006418341430153148,926.8857268350201,0
12_18m,2,severe,sting,0.1,0.009110160516701618,0.4564533327742758,0.0818996114326761,0.7842312150991806,0.00664318786486194,920.9134856494909,0
12_18m,2,severe,sting,0.15,0.005808659688615813,0.06026687976747725,0.00317112416462459,0.2552866525590154,0.03287163878290711,886.5768749252138,0
12_18m,2,severe,sting,0.2,0.002087601878039319,0.1323977726964328,0.002731352669419065,0.45535799251955145,0.22253044805161915,913.0352047439244,0
12_18m,2,severe,sting,0.25,0.002081567739275582,0.13272800425782322,0.002738745890375681,0.45606473566224726,0.22343366710418983,913.0787297218662,0
12_18m,2,severe,sting,0.3,0.0020725247135388184,0.13322598664808316,0.002749905264930649,0.45712807194709165,0.2247979058117836,913.1439577238264,0
12_18m,2,severe,sting,0.35,0.0020605680356163125,0.13389015955776354,0.0027648086027051095,0.45854176957235226,0.22662156371913472,913.2302012897687,0
12_18m,2,severe,sting,0.4,0.0020468696660789765,0.13465923277256814,0.002782094076330087,0.46017235663701245,0.2287391797481742,913.32900652996,0
