age_group,initial_grade,bbd_severity_label,baseline_site_exponent,no_discount_site_exponent,baseline_technique,baseline_volume_ml,baseline_reflux_fraction,baseline_obstruction_index,no_discount_technique,no_discount_volume_ml,no_discount_reflux_fraction,no_discount_obstruction_index,no_discount_selection_mode,no_discount_safe_candidates_n,changed_vs_baseline,sampling_protocol
24_60m,5,moderate,0.50,0.00,double_hit,1.20,0.0822,0.0836,double_hit,1.20,0.0919,0.0979,within_ceiling,15,0,full 75-stratum balanced grid; sex averaged; grade5 tortuosity 1.5|2.5|3.5
24_60m,5,severe,0.50,0.00,double_hit,1.20,0.1574,0.0836,double_hit,1.20,0.1757,0.0979,within_ceiling,15,0,full 75-stratum balanced grid; sex averaged; grade5 tortuosity 1.5|2.5|3.5
5_10y,1,none,0.50,0.00,double_hit_plus_sting,1.00,0.0000,0.0981,double_hit,0.60,0.0001,0.0547,within_ceiling,8,1,full 75-stratum balanced grid; sex averaged; grade5 tortuosity 1.5|2.5|3.5
5_10y,1,moderate,0.50,0.00,double_hit_plus_sting,1.00,0.0000,0.0981,double_hit,0.60,0.0004,0.0547,within_ceiling,8,1,full 75-stratum balanced grid; sex averaged; grade5 tortuosity 1.5|2.5|3.5
5_10y,1,severe,0.50,0.00,double_hit,0.80,0.0000,0.1380,double_hit,0.60,0.0015,0.0547,within_ceiling,8,1,full 75-stratum balanced grid; sex averaged; grade5 tortuosity 1.5|2.5|3.5
5_10y,2,none,0.50,0.00,double_hit_plus_sting,1.00,0.0000,0.0605,double_hit_plus_sting,1.00,0.0000,0.0957,within_ceiling,9,0,full 75-stratum balanced grid; sex averaged; grade5 tortuosity 1.5|2.5|3.5
5_10y,2,moderate,0.50,0.00,double_hit,0.80,0.0000,0.1372,double_hit_plus_sting,1.00,0.0001,0.0957,within_ceiling,9,1,full 75-stratum balanced grid; sex averaged; grade5 tortuosity 1.5|2.5|3.5
5_10y,2,severe,0.50,0.00,double_hit,0.80,0.0000,0.1372,double_hit_plus_sting,1.00,0.0011,0.0957,within_ceiling,9,1,full 75-stratum balanced grid; sex averaged; grade5 tortuosity 1.5|2.5|3.5
5_10y,3,none,0.50,0.00,double_hit,1.00,0.0000,0.1420,double_hit_plus_sting,1.20,0.0004,0.0560,within_ceiling,12,1,full 75-stratum balanced grid; sex averaged; grade5 tortuosity 1.5|2.5|3.5
5_10y,3,moderate,0.50,0.00,double_hit,1.00,0.0000,0.1420,double_hit_plus_sting,1.20,0.0024,0.0560,within_ceiling,12,1,full 75-stratum balanced grid; sex averaged; grade5 tortuosity 1.5|2.5|3.5
5_10y,3,severe,0.50,0.00,double_hit,1.00,0.0000,0.1420,double_hit_plus_sting,1.20,0.0070,0.0560,within_ceiling,12,1,full 75-stratum balanced grid; sex averaged; grade5 tortuosity 1.5|2.5|3.5
5_10y,4,none,0.50,0.00,double_hit,1.20,0.0000,0.1045,double_hit,1.20,0.0000,0.1426,within_ceiling,16,0,full 75-stratum balanced grid; sex averaged; grade5 tortuosity 1.5|2.5|3.5
5_10y,4,moderate,0.50,0.00,double_hit,1.20,0.0000,0.1045,double_hit,1.20,0.0000,0.1426,within_ceiling,16,0,full 75-stratum balanced grid; sex averaged; grade5 tortuosity 1.5|2.5|3.5
5_10y,4,severe,0.50,0.00,double_hit,1.20,0.0005,0.1045,double_hit,1.20,0.0006,0.1426,within_ceiling,16,0,full 75-stratum balanced grid; sex averaged; grade5 tortuosity 1.5|2.5|3.5
5_10y,5,none,0.50,0.00,double_hit,1.50,0.0272,0.0862,double_hit,1.50,0.0290,0.1003,within_ceiling,20,0,full 75-stratum balanced grid; sex averaged; grade5 tortuosity 1.5|2.5|3.5
5_10y,5,moderate,0.50,0.00,double_hit,1.50,0.0853,0.0862,double_hit,1.50,0.0949,0.1003,within_ceiling,20,0,full 75-stratum balanced grid; sex averaged; grade5 tortuosity 1.5|2.5|3.5
5_10y,5,severe,0.50,0.00,double_hit,1.50,0.1546,0.0862,double_hit,1.50,0.1719,0.1003,within_ceiling,20,0,full 75-stratum balanced grid; sex averaged; grade5 tortuosity 1.5|2.5|3.5
10_16y,1,none,0.50,0.00,double_hit,1.00,0.0000,0.1460,double_hit_plus_sting,1.20,0.0001,0.0519,within_ceiling,12,1,full 75-stratum balanced grid; sex averaged; grade5 tortuosity 1.5|2.5|3.5
10_16y,1,moderate,0.50,0.00,double_hit,1.00,0.0000,0.1460,double_hit_plus_sting,1.20,0.0005,0.0519,within_ceiling,12,1,full 75-stratum balanced grid; sex averaged; grade5 tortuosity 1.5|2.5|3.5
10_16y,1,severe,0.50,0.00,double_hit,1.00,0.0000,0.1460,double_hit_plus_sting,1.20,0.0015,0.0519,within_ceiling,12,1,full 75-stratum balanced grid; sex averaged; grade5 tortuosity 1.5|2.5|3.5
10_16y,2,none,0.50,0.00,double_hit,1.00,0.0000,0.1240,hit,0.60,0.0003,0.1098,within_ceiling,12,1,full 75-stratum balanced grid; sex averaged; grade5 tortuosity 1.5|2.5|3.5
10_16y,2,moderate,0.50,0.00,double_hit,1.00,0.0000,0.1240,hit,0.60,0.0018,0.1098,within_ceiling,12,1,full 75-stratum balanced grid; sex averaged; grade5 tortuosity 1.5|2.5|3.5
10_16y,2,severe,0.50,0.00,double_hit,1.00,0.0000,0.1240,double_hit_plus_sting,1.20,0.0049,0.0453,within_ceiling,12,1,full 75-stratum balanced grid; sex averaged; grade5 tortuosity 1.5|2.5|3.5
10_16y,3,none,0.50,0.00,double_hit,1.20,0.0000,0.0976,double_hit,1.20,0.0000,0.1307,within_ceiling,17,0,full 75-stratum balanced grid; sex averaged; grade5 tortuosity 1.5|2.5|3.5
10_16y,3,moderate,0.50,0.00,double_hit,1.20,0.0000,0.0976,double_hit,1.20,0.0000,0.1307,within_ceiling,17,0,full 75-stratum balanced grid; sex averaged; grade5 tortuosity 1.5|2.5|3.5
10_16y,3,severe,0.50,0.00,double_hit,1.20,0.0001,0.0976,double_hit,1.20,0.0001,0.1307,within_ceiling,17,0,full 75-stratum balanced grid; sex averaged; grade5 tortuosity 1.5|2.5|3.5
10_16y,4,none,0.50,0.00,double_hit,1.50,0.0000,0.0822,double_hit,1.50,0.0000,0.1089,within_ceiling,21,0,full 75-stratum balanced grid; sex averaged; grade5 tortuosity 1.5|2.5|3.5
10_16y,4,moderate,0.50,0.00,double_hit,1.50,0.0010,0.0822,double_hit,1.50,0.0011,0.1089,within_ceiling,21,0,full 75-stratum balanced grid; sex averaged; grade5 tortuosity 1.5|2.5|3.5
10_16y,4,severe,0.50,0.00,double_hit,1.50,0.0047,0.0822,double_hit,1.50,0.0056,0.1089,within_ceiling,21,0,full 75-stratum balanced grid; sex averaged; grade5 tortuosity 1.5|2.5|3.5
10_16y,5,none,0.50,0.00,double_hit,2.00,0.0077,0.1179,double_hit,2.00,0.0086,0.1429,within_ceiling,24,0,full 75-stratum balanced grid; sex averaged; grade5 tortuosity 1.5|2.5|3.5
10_16y,5,moderate,0.50,0.00,double_hit,2.00,0.0369,0.1179,double_hit,2.00,0.0434,0.1429,within_ceiling,24,0,full 75-stratum balanced grid; sex averaged; grade5 tortuosity 1.5|2.5|3.5
10_16y,5,severe,0.50,0.00,double_hit,2.00,0.0807,0.1179,double_hit,2.00,0.0947,0.1429,within_ceiling,24,0,full 75-stratum balanced grid; sex averaged; grade5 tortuosity 1.5|2.5|3.5
