obstruction_ceiling,age_group,initial_grade,bbd_severity_label,recommended_technique,deflux_volume_ml,reflux_fraction,obstruction_index,selection_mode,safe_candidates_n,reference_0p15_technique,reference_0p15_volume_ml,changed_vs_0p15
0.15,10_16y,2,moderate,double_hit,1.00,0.0000,0.1240,within_ceiling,13,double_hit,1.00,0
0.15,10_16y,2,none,double_hit,1.00,0.0000,0.1240,within_ceiling,13,double_hit,1.00,0
0.15,10_16y,2,severe,double_hit,1.00,0.0000,0.1240,within_ceiling,13,double_hit,1.00,0
0.15,10_16y,3,moderate,double_hit,1.20,0.0000,0.0976,within_ceiling,18,double_hit,1.20,0
0.15,10_16y,3,none,double_hit,1.20,0.0000,0.0976,within_ceiling,18,double_hit,1.20,0
0.15,10_16y,3,severe,double_hit,1.20,0.0001,0.0976,within_ceiling,18,double_hit,1.20,0
0.15,10_16y,4,moderate,double_hit,1.50,0.0010,0.0822,within_ceiling,21,double_hit,1.50,0
0.15,10_16y,4,none,double_hit,1.50,0.0000,0.0822,within_ceiling,21,double_hit,1.50,0
0.15,10_16y,4,severe,double_hit,1.50,0.0047,0.0822,within_ceiling,21,double_hit,1.50,0
0.15,10_16y,5,moderate,double_hit,2.00,0.0369,0.1179,within_ceiling,24,double_hit,2.00,0
0.15,10_16y,5,none,double_hit,2.00,0.0077,0.1179,within_ceiling,24,double_hit,2.00,0
0.15,10_16y,5,severe,double_hit,2.00,0.0807,0.1179,within_ceiling,24,double_hit,2.00,0
0.15,12_18m,1,moderate,double_hit,0.60,0.0000,0.1320,within_ceiling,7,double_hit,0.60,0
0.15,12_18m,1,none,double_hit,0.60,0.0000,0.1320,within_ceiling,7,double_hit,0.60,0
0.15,12_18m,1,severe,double_hit,0.60,0.0008,0.1320,within_ceiling,7,double_hit,0.60,0
0.15,12_18m,2,moderate,double_hit,0.60,0.0001,0.1315,within_ceiling,7,double_hit,0.60,0
0.15,12_18m,2,none,double_hit,0.60,0.0000,0.1315,within_ceiling,7,double_hit,0.60,0
0.15,12_18m,2,severe,double_hit,0.60,0.0021,0.1315,within_ceiling,7,double_hit,0.60,0
0.15,12_18m,3,moderate,double_hit,0.60,0.0004,0.1284,within_ceiling,8,double_hit,0.60,0
0.15,12_18m,3,none,double_hit,0.60,0.0000,0.1284,within_ceiling,8,double_hit,0.60,0
0.15,12_18m,3,severe,double_hit,0.60,0.0048,0.1284,within_ceiling,8,double_hit,0.60,0
0.15,12_18m,4,moderate,double_hit,0.80,0.0013,0.1328,within_ceiling,11,double_hit,0.80,0
0.15,12_18m,4,none,double_hit,0.80,0.0000,0.1328,within_ceiling,11,double_hit,0.80,0
0.15,12_18m,4,severe,double_hit,0.80,0.0111,0.1328,within_ceiling,11,double_hit,0.80,0
0.15,12_18m,5,moderate,double_hit_plus_sting,1.20,0.2161,0.0618,within_ceiling,9,double_hit_plus_sting,1.20,0
0.15,12_18m,5,none,hit,0.60,0.0735,0.1379,within_ceiling,9,hit,0.60,0
0.15,12_18m,5,severe,double_hit_plus_sting,1.20,0.3506,0.0618,within_ceiling,9,double_hit_plus_sting,1.20,0
